"Suite","Name","Outcome","Message"
"components","CanDoItAll.Tests.Components.AgentFramework.AgentChatPanelResponsivenessTests.Failed_send_does_not_reload_a_run_from_another_thread","Failed","System.InvalidOperationException : Cannot provide a value for property 'ProviderRuntimeAdministrationService' on type 'CanDoItAll.Modules.AgentFramework.Pages.Components.AgentChatPanel'. There is no registered service of type 'CanDoItAll.Modules.AgentFramework.ProviderManagement.IProviderRuntimeAdministrationService'."
"components","CanDoItAll.Tests.Components.AgentFramework.AgentCatalogPanelTests.Catalog_marks_card_selection_as_handled_for_requested_dialog_echo","Failed","System.InvalidOperationException : Cannot provide a value for property 'ProviderRuntimeAdministrationService' on type 'CanDoItAll.Modules.AgentFramework.Pages.Components.AgentCatalogPanel'. There is no registered service of type 'CanDoItAll.Modules.AgentFramework.ProviderManagement.IProviderRuntimeAdministrationService'."
"components","CanDoItAll.Tests.Components.AgentFramework.AgentChatPanelResponsivenessTests.Send_releases_the_ui_event_while_the_post_run_workspace_refresh_is_pending","Failed","System.InvalidOperationException : Cannot provide a value for property 'ProviderRuntimeAdministrationService' on type 'CanDoItAll.Modules.AgentFramework.Pages.Components.AgentChatPanel'. There is no registered service of type 'CanDoItAll.Modules.AgentFramework.ProviderManagement.IProviderRuntimeAdministrationService'."
"components","CanDoItAll.Tests.Components.AgentFramework.AgentDetailsDialogSettingsTests.Legacy_external_workspace_root_is_migrated_with_a_binding_on_save","Failed","System.InvalidOperationException : Cannot provide a value for property 'ProviderRuntimeAdministrationService' on type 'CanDoItAll.Tests.Components.AgentFramework.AgentDetailsDialogSettingsTests+TestAgentDetailsDialog'. There is no registered service of type 'CanDoItAll.Modules.AgentFramework.ProviderManagement.IProviderRuntimeAdministrationService'."
"components","CanDoItAll.Tests.Components.AgentFramework.AgentDetailsDialogSettingsTests.Acknowledging_auto_approval_enables_the_policy_and_keeps_a_warning_visible","Failed","System.InvalidOperationException : Cannot provide a value for property 'ProviderRuntimeAdministrationService' on type 'CanDoItAll.Tests.Components.AgentFramework.AgentDetailsDialogSettingsTests+TestAgentDetailsDialog'. There is no registered service of type 'CanDoItAll.Modules.AgentFramework.ProviderManagement.IProviderRuntimeAdministrationService'."
"integration","CanDoItAll.Tests.Integration.AgentFramework.AgentFrameworkWorkspaceSeedIntegrationTests.Organization_workspace_seeds_tagged_openai_and_local_ollama_provider_catalog","Failed","Assert.All() Failure: 4 out of 4 items in the collection did not pass."
"integration","CanDoItAll.Tests.Integration.Runtime.ManagedSeedExecutionFallbackIntegrationTests.Organization_catalog_repair_preserves_priced_luna_assignment_for_managed_seed_agent","Failed","Assert.True() Failure"
"integration","CanDoItAll.Tests.Integration.SharedProviderOpenAiCompatibilityIntegrationTests.FunctionTools_RoundTripWithoutCentralExecution","Failed","Assert.IsType() Failure: Value is not the exact type"
"integration","CanDoItAll.Tests.Integration.SharedProviderStreamingIntegrationTests.Dispatcher_MidstreamFailureEmitsNoSyntheticDoneAndFailsCompletion","Failed","System.InvalidOperationException : Unable to resolve service for type 'CanDoItAll.AgentFramework.Providers.IProviderInferenceRelayRuntime' while attempting to activate 'CanDoItAll.SharedProviders.Http.SharedProviderHttpRelayClient'."
"integration","CanDoItAll.Tests.Integration.AgentFramework.AgentFrameworkWorkspaceSeedIntegrationTests.Stale_research_agent_seed_is_refreshed_and_drops_project_structure_capability","Failed","System.InvalidOperationException : Agent model override 'gpt-5.4-mini' for provider 'OpenAI default' requires a model price row on the provider profile."
